network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius,is_anycast
1.6.74.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.76.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.80.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.88.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.90.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.91.0/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.91.16/29,1259229,1269750,,0,0,411001,18.5211,73.8502,20,
1.6.91.24/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.91.32/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.91.64/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.91.128/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.92.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.93.0/27,1259229,1269750,,0,0,411001,18.5211,73.8502,20,
1.6.93.32/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.93.64/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.93.128/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.94.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.96.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.104.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.105.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.105.128/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.105.160/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.105.176/31,1277333,1269750,,0,0,560100,12.9753,77.5910,20,
1.6.105.178/32,1277333,1269750,,0,0,560001,12.9753,77.5910,20,
1.6.105.179/32,1277333,1269750,,0,0,560100,12.9753,77.5910,20,
1.6.105.180/30,1277333,1269750,,0,0,560100,12.9753,77.5910,20,
1.6.105.184/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.105.192/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.106.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.108.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.112.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.120.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.122.0/29,1277333,1269750,,0,0,560029,12.9753,77.5910,20,
1.6.122.8/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.122.16/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.122.32/30,1277333,1269750,,0,0,560052,12.9753,77.5910,20,
1.6.122.36/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.122.40/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.122.48/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.122.64/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.122.128/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.123.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.124.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.128.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.130.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.131.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.131.128/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.131.144/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.131.152/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.131.156/30,1278860,1269750,,0,0,134005,30.3588,76.8029,20,
1.6.131.160/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.131.192/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.132.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.136.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.144.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.152.0/25,7279746,1269750,,0,0,201301,28.5759,77.3345,20,
1.6.152.128/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.153.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.154.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.156.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.158.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.158.128/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.158.144/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.158.152/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.158.156/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.158.158/32,1259229,1269750,,0,0,411005,18.5211,73.8502,20,
1.6.158.159/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.158.160/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.158.192/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.159.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.160.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.168.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.172.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.172.128/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.172.160/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.172.162/32,1264527,1269750,,0,0,600001,13.0895,80.2739,20,
1.6.172.163/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.172.164/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.172.168/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.172.176/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.172.192/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.173.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.174.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.176.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.180.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.182.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.182.128/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.182.160/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.182.168/29,1277333,1269750,,0,0,560037,12.9753,77.5910,20,
1.6.182.176/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.182.192/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.183.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.184.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.184.128/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.184.192/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.184.224/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.184.232/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.184.236/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.184.237/32,1269743,1269750,,0,0,452010,22.7170,75.8337,20,
1.6.184.238/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.184.240/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.185.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.186.0/23,1275339,1269750,,0,0,400070,19.0748,72.8856,20,
1.6.188.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.190.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.190.128/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.190.192/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.190.224/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.190.240/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.190.248/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.190.249/32,1275339,1269750,,0,0,400017,19.0748,72.8856,20,
1.6.190.250/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.190.252/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.191.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.192.0/20,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.208.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.212.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.214.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.214.128/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.214.192/29,1264527,1269750,,0,0,600001,13.0895,80.2739,20,
1.6.214.200/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.214.208/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.214.224/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.215.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.216.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.224.0/19,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.0.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.4.0/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.4.64/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.4.68/31,1273294,1269750,,0,0,110054,28.6542,77.2373,20,
1.7.4.70/32,1270642,1269750,,0,0,122016,28.4597,77.0282,20,
1.7.4.71/32,1273294,1269750,,0,0,110054,28.6542,77.2373,20,
1.7.4.72/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.4.80/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.4.96/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.4.128/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.5.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.6.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.8.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.16.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.20.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.0/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.2/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.3/32,1275339,1269750,,0,0,400017,19.0748,72.8856,20,
1.7.21.4/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.8/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.10/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.11/32,1275339,1269750,,0,0,400017,19.0748,72.8856,20,
1.7.21.12/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.16/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.32/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.64/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.128/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.160/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.168/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.172/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.173/32,1269843,1269750,,0,0,500001,17.3843,78.4583,20,
1.7.21.174/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.176/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.192/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.194/32,1269843,1269750,,0,0,500001,17.3843,78.4583,20,
1.7.21.195/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.196/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.200/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.208/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.21.224/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.22.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.24.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.26.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.27.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.27.128/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.27.160/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.27.162/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.27.163/32,1259229,1269750,,0,0,411005,18.5211,73.8502,20,
1.7.27.164/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.27.168/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.27.170/32,1259229,1269750,,0,0,411005,18.5211,73.8502,20,
1.7.27.171/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.27.172/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.27.176/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.27.192/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.28.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.32.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.40.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.42.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.42.128/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.42.129/32,7279746,1269750,,0,0,110091,28.5759,77.3345,20,
1.7.42.130/32,7279746,1269750,,0,0,110091,28.5759,77.3345,20,
1.7.42.131/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.42.132/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.42.136/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.42.144/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.42.160/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.42.192/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.43.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.44.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.7.48.0/20,1269750,1269750,,0,0,,21.9974,79.0011,1000,
