network,autonomous_system_number,autonomous_system_organization
5.181.52.0/24,211289,"Joshua Leahy"
5.181.53.0/24,210855,"Meetscale SAS"
5.181.54.0/24,49223,"Everest Tv And Radio Company LLC"
5.181.55.0/24,211128,"Sky Fiber AD"
5.181.56.0/22,205847,"GoFibre Holdings Limited"
5.181.60.0/23,47764,"LLC VK"
5.181.62.0/24,47764,"LLC VK"
5.181.63.0/24,207970,"LLC VK"
5.181.64.0/22,201341,"trafficforce, UAB"
5.181.68.0/22,15605,"Connesi s.p.a."
5.181.72.0/22,206576,"Wavenet Limited"
5.181.76.0/23,202422,"G-Core Labs S.A."
5.181.78.0/24,199524,"G-Core Labs S.A."
5.181.79.0/24,202422,"G-Core Labs S.A."
5.181.80.0/24,50360,"Tamatiya EOOD"
5.181.81.0/24,51358,"Radioactive EOOD"
5.181.82.0/23,51358,"Radioactive EOOD"
5.181.84.0/23,43260,"Dgn Teknoloji A.s."
5.181.86.0/24,211632,"Internet Solutions & Innovations LTD."
5.181.87.0/24,47585,"Yigit Hosting Bilisim E-Ticaret Gida Sanayi Ticaret Limited Sirketi"
5.181.88.0/22,203061,"UAB code200"
5.181.92.0/22,50825,"UVT Internet s.r.o."
5.181.96.0/23,60609,"Apfutura Telecom Sl"
5.181.98.0/24,60609,"Apfutura Telecom Sl"
5.181.99.0/24,207645,"F & W Networks Ltd"
5.181.100.0/22,200845,"Avatel Telecom, SA"
5.181.104.0/22,43915,"TrueSpeed Communications Limited"
5.181.108.0/22,198610,"Beget LLC"
5.181.112.0/23,39855,"Mod Mission Critical LLC"
5.181.115.0/24,39855,"Mod Mission Critical LLC"
5.181.116.0/22,9063,"VSE NET GmbH"
5.181.120.0/22,50469,"Hessenkom GmbH & Co. KG"
5.181.124.0/24,42831,"UK Dedicated Servers Limited"
5.181.125.0/24,9009,"M247 Europe SRL"
5.181.126.0/23,9009,"M247 Europe SRL"
5.181.128.0/24,212238,"Datacamp Limited"
5.181.129.0/24,400039,WT-AUR
5.181.130.0/24,135402,"Wired ISP Inc."
5.181.131.0/24,61317,"Hivelocity LLC"
5.181.132.0/24,55720,"Gigabit Hosting Sdn Bhd"
5.181.133.0/24,13213,"UK-2 Limited"
5.181.134.0/24,200223,"Etheron Hosting"
5.181.135.0/24,202673,"Ohz Digital S.L."
5.181.144.0/22,209071,"Ricca IT SRL"
5.181.152.0/22,209125,"Kobenhavn Kommune"
5.181.156.0/22,39798,"MivoCloud SRL"
5.181.160.0/24,206459,"Texa S.p.A."
5.181.161.0/24,205282,"Tilda Publishing Ltd."
5.181.162.0/23,43140,"Teleflash GmbH"
5.181.164.0/23,62164,"Heymman Servers Corporation"
5.181.166.0/24,212238,"Datacamp Limited"
5.181.167.0/24,62164,"Heymman Servers Corporation"
5.181.168.0/23,59651,"Alex Largman"
5.181.170.0/24,26548,PUREVOLTAGE-INC
5.181.171.0/24,35830,"Fast Servers (Pty) Ltd"
5.181.172.0/22,209124,"Roverba Cgs SAS"
5.181.176.0/24,202673,"Ohz Digital S.L."
5.181.177.0/24,214677,DELUXHOST
5.181.178.0/24,211407,"PT Perwira Media Solusi"
5.181.179.0/24,400039,WT-AUR
5.181.180.0/24,212477,"RoyaleHosting BV"
5.181.181.0/24,211673,"Mynymbox LLC"
5.181.182.0/24,36352,AS-COLOCROSSING
5.181.183.0/24,215238,"Irfan Tugra Onem"
5.181.184.0/24,212335,"Simoresta UAB"
5.181.185.0/24,211373,"Simoresta UAB"
5.181.187.0/24,215703,Freakhosting
5.181.188.0/24,201814,"MEVSPACE sp. z o.o."
5.181.189.0/24,213794,"Subinet Sp. z o.o."
5.181.190.0/24,201814,"MEVSPACE sp. z o.o."
5.181.191.0/24,207208,"MEVSPACE sp. z o.o."
5.181.192.0/22,60989,"Sinergia Telecomunication S.R.L."
5.181.196.0/23,215597,"Asiacell Communications Pjsc"
5.181.198.0/23,51684,"Asiacell Communications Pjsc"
5.181.200.0/24,14618,AMAZON-AES
5.181.202.0/24,214790,"Brainoza OU"
5.181.204.0/22,203020,"HostRoyale Technologies Pvt Ltd"
5.181.208.0/22,59637,"RamSvyazInvest LLC"
5.181.212.0/22,209088,"Enerjisa Uretim Santralleri A.S."
5.181.216.0/23,47583,"Hostinger International Limited"
5.181.218.0/24,47583,"Hostinger International Limited"
5.181.219.0/24,40065,CNSERVERS
5.181.220.0/23,214286,"Operadora Iberica De Redes Y Servicios De Telecomunicaciones S.l"
5.181.222.0/23,51681,"Sineasen S.l."
5.181.224.0/23,45102,"Alibaba US Technology Co., Ltd."
5.181.226.0/23,35145,"iDea Leaper Innovation Inc."
5.181.228.0/22,210237,"WIENER LINIEN GmbH & Co KG"
5.181.232.0/22,9009,"M247 Europe SRL"
5.181.236.0/22,42947,"Telfy Telecom S.L."
5.181.240.0/22,207174,"Jeyca Tecnologica Y Medio Ambiente SL"
5.181.244.0/22,198690,"Fibrecast Ltd."
5.181.248.0/22,209116,"LLC web Pro"
5.181.252.0/22,44128,"Internet-Pro LLC"
5.182.0.0/22,208013,"wantech gmbh"
5.182.4.0/22,49505,"JSC Selectel"
5.182.10.0/23,201902,"Bicom Systems Limited"
5.182.12.0/22,209709,"UAB code200"
5.182.16.0/24,212238,"Datacamp Limited"
5.182.17.0/24,51167,"Contabo GmbH"
5.182.18.0/24,47583,"Hostinger International Limited"
5.182.19.0/24,34927,"iFog GmbH"
5.182.20.0/23,8860,"Delta HighTech Ltd."
5.182.22.0/24,20473,AS-VULTR
5.182.23.0/24,8860,"Delta HighTech Ltd."
5.182.24.0/23,43264,"Rto-don LLC"
5.182.26.0/24,35682,"Best Internet Solution Xk"
5.182.27.0/24,52086,"Osnova Data Net LLC"
5.182.28.0/22,2914,NTT-DATA-2914
5.182.32.0/24,141039,"PacketHub S.A."
5.182.33.0/24,51167,"Contabo GmbH"
5.182.34.0/24,26042,FIBERSTATE
5.182.36.0/22,209847,"WorkTitans B.V."
5.182.40.0/22,209110,"EVEX Deutschland GmbH"
5.182.44.0/23,61173,"Green Web Samaneh Novin PJSC"
5.182.46.0/24,61173,"Green Web Samaneh Novin PJSC"
5.182.48.0/24,41720,"Revolution Provider Srl"
5.182.49.0/24,209181,"Zenex 5ive Limited"
5.182.50.0/24,53340,FIBERHUB
5.182.51.0/24,64249,ENDOFFICE
5.182.52.0/22,43045,"Svyaz-Holding Ltd."
5.182.56.0/22,35142,"Better Linx Ltd"
5.182.64.0/22,57843,"Gk Interlogica LLC"
5.182.68.0/22,205891,"WeNetwork SRL"
5.182.72.0/24,29119,"Aire Networks Del Mediterraneo Sl Unipersonal"
5.182.73.0/24,200845,"Avatel Telecom, SA"
5.182.74.0/23,29119,"Aire Networks Del Mediterraneo Sl Unipersonal"
5.182.80.0/22,200845,"Avatel Telecom, SA"
5.182.84.0/23,209242,"Cloudflare London, LLC"
5.182.86.0/23,210644,"Aeza International Ltd"
5.182.88.0/22,8767,"M-net Telekommunikations GmbH"
5.182.92.0/22,15884,"Expert Pro LLC"
5.182.96.0/22,209106,"SISTEC LLC"
5.182.100.0/23,9009,"M247 Europe SRL"
5.182.102.0/24,397373,H4Y-TECHNOLOGIES
5.182.103.0/24,209854,"Cyberzone S.A."
5.182.106.0/24,29310,JAWWAL
5.182.107.0/24,200924,"Stiegeler Internet Service GmbH"
5.182.108.0/24,212238,"Datacamp Limited"
5.182.109.0/24,9009,"M247 Europe SRL"
5.182.110.0/24,9304,"HGC Global Communications Limited"
5.182.111.0/24,212238,"Datacamp Limited"
5.182.112.0/24,214432,"Zhilian Technology CO., LTD."
5.182.113.0/24,9087,"Rackdog, LLC"
5.182.114.0/24,401838,UNI-BROADBAND
5.182.115.0/24,212683,"Olilo UK & Ireland Ltd"
5.182.116.0/24,212667,"RECONN LLC"
5.182.117.0/24,58061,"Scalaxy B.V."
5.182.118.0/23,397373,H4Y-TECHNOLOGIES
5.182.120.0/22,397373,H4Y-TECHNOLOGIES
5.182.124.0/22,262287,"Latitude.sh LTDA"
5.182.128.0/23,3292,"TDC Holding A/S"
5.182.130.0/23,57087,"JYSK A/S"
5.182.132.0/22,209068,"Bukhamseen Group Holding Co"
5.182.136.0/22,209095,"Comnot S.A.S."
5.182.140.0/22,198906,"Grabowski Mariusz"
5.182.144.0/22,209097,"Netsyst SAS"
5.182.148.0/22,206548,"ZCOM.cz s.r.o"
5.182.152.0/24,15404,"COLT Technology Services Group Limited"
5.182.153.0/24,3320,"Deutsche Telekom AG"
5.182.154.0/23,5539,"SpaceNet AG"
5.182.156.0/22,205555,"SNCF Connect & Tech Services SASU"
5.182.160.0/22,34471,"Free Technologies Excom S.L."
5.182.164.0/22,209906,"Fibrasur Operadores S.L."
5.182.168.0/22,208957,"Ingenierie Informatique Systeme Et Reseau SARL"
5.182.172.0/22,211402,"Girowimax Wireless Solutions, S.L."
5.182.176.0/24,9135,"ITEMAX GmbH"
5.182.178.0/24,48918,"Globalways GmbH"
5.182.180.0/22,16370,"Random Logic Ltd."
5.182.184.0/24,212238,"Datacamp Limited"
5.182.186.0/24,33667,CMCS
5.182.187.0/24,7015,COMCAST-7015
5.182.188.0/24,209094,"Technoberg Beheer B.V."
5.182.189.0/24,206521,"Technoberg Beheer B.V."
5.182.192.0/24,7015,COMCAST-7015
5.182.193.0/24,33667,CMCS
5.182.194.0/23,33667,CMCS
5.182.196.0/24,212238,"Datacamp Limited"
5.182.198.0/24,7015,COMCAST-7015
5.182.199.0/24,64249,ENDOFFICE
5.182.200.0/24,197540,"netcup GmbH"
5.182.201.0/24,58212,"dataforest GmbH"
5.182.202.0/23,197540,"netcup GmbH"
5.182.204.0/22,213250,"ITP-Solutions GmbH & Co. KG"
5.182.208.0/22,62068,"SpectraIP B.V."
5.182.212.0/22,35280,"F5 Networks SARL"
5.182.216.0/22,134548,"DXTL Tseung Kwan O Service"
5.182.220.0/22,21396,"NetConnex Broadband Ltd."
5.182.224.0/22,50340,"JSC Selectel"
5.182.228.0/22,56630,"Melbikomas UAB"
5.182.232.0/22,213648,"Yorizon Verwaltungs GmbH"
5.182.236.0/22,12897,"ENTEGA Medianet GmbH"
5.182.240.0/22,31034,"Aruba S.p.A."
5.182.244.0/23,206119,"Veganet Teknolojileri ve Hizmetleri LTD STI"
5.182.247.0/24,212905,"Speed Net Internet Iletisim Haberlesme Tic.ltd.sti"
5.182.248.0/22,209042,"TiZoo Sarl"
5.182.252.0/22,16347,"ADISTA SAS"
5.183.0.0/22,212865,"netconnect AG"
5.183.4.0/24,47176,"GAS&COM AG"
5.183.5.0/24,214873,"HINT AG"
5.183.6.0/23,214873,"HINT AG"
5.183.8.0/22,47583,"Hostinger International Limited"
5.183.12.0/22,201476,"ISP Alliance a.s."
5.183.16.0/23,39305,"Groupe convergence.com SAS"
5.183.18.0/23,197033,"KOESIO Networks SAS"
5.183.20.0/22,12748,"IAV GmbH Ingenieurgesellschaft Auto und Verkehr"
5.183.24.0/22,211285,"Akcionarsko drustvo Elektroprivreda Srbije, Beograd"
5.183.28.0/22,57334,"SPB State Unitary Enterprise ATS Smolnogo"
5.183.32.0/22,136787,"PacketHub S.A."
5.183.36.0/22,203020,"HostRoyale Technologies Pvt Ltd"
5.183.42.0/23,209039,"Benocs GmbH"
5.183.44.0/22,48447,"Sectigo Limited"
5.183.48.0/22,57395,"synaforce GmbH"
5.183.52.0/22,208406,"Bank Degroof Petercam SA"
5.183.56.0/22,200845,"Avatel Telecom, SA"
5.183.60.0/22,209723,"Expert Netcloud Llp"
5.183.64.0/21,25591,"BCLan LLC"
5.183.72.0/22,35258,"akquinet outsourcing gGmbH"
5.183.76.0/23,40676,AS40676
5.183.78.0/24,398779,ACEHOST
5.183.79.0/24,224,"Kunnskapssektorens Tjenesteleverandor"
5.183.80.0/22,52471,"COLUMBUS NETWORKS DOMINICANA, S.A."
5.183.84.0/22,57353,"vitroconnect GmbH"
5.183.88.0/22,22773,ASN-CXA-ALL-CCI-22773-RDC
5.183.92.0/23,203061,"UAB code200"
5.183.94.0/24,203020,"HostRoyale Technologies Pvt Ltd"
5.183.95.0/24,44066,"firstcolo GmbH"
5.183.96.0/22,6424,"Edgoo Networks Unipessoal Lda"
5.183.100.0/23,212238,"Datacamp Limited"
5.183.102.0/24,20860,"Iomart Cloud Services Limited"
5.183.103.0/24,212238,"Datacamp Limited"
5.183.104.0/22,51083,"Association Grenode"
5.183.108.0/24,200818,"Connextra S.r.l"
5.183.109.0/24,210687,"QWireless srls"
5.183.110.0/24,41327,"Fiber Telecom S.p.A."
5.183.111.0/24,197075,"Active Network S.p.A."
5.183.116.0/24,18186,NEBULA-GLOBAL
5.183.118.0/23,140224,NEBULA
5.183.120.0/23,140224,NEBULA
5.183.124.0/22,197133,"Mediactive SAS"
5.183.128.0/24,58061,"Scalaxy B.V."
5.183.129.0/24,209298,"Pinaton LLC"
5.183.130.0/24,35048,"Biterika Group LLC"
5.183.131.0/24,56985,"RUSTEL LLC"
5.183.132.0/22,41960,"Nextpertise B.V."
5.183.136.0/22,208653,"SIGNAL IDUNA Krankenversicherung a.G."
5.183.140.0/22,209072,"Gbl Ict B.v."
5.183.144.0/23,42897,"Telnet LLC"
5.183.146.0/23,50187,BaikalWestCom
5.183.148.0/23,60609,"Apfutura Telecom Sl"
5.183.150.0/24,43618,"Inforcelra Sl"
5.183.151.0/24,210767,"Link Host Ltd."
5.183.152.0/24,210135,"Yug-Telecom-K Ltd."
5.183.153.0/24,62300,"Address Limited"
5.183.154.0/24,196695,"NetOne Rus JSC"
5.183.155.0/24,211825,"PE Timonin Alexey Valerievich"
5.183.156.0/24,202778,"Medsoft LLC"
5.183.161.0/24,60987,"Fiberdan Networks, S.l"
5.183.162.0/24,212344,"Spolka 4lan Bogdanow, Karkos, Opara, Szumny, Wojciechowski Spolka Jawna"
5.183.164.0/22,49292,"Leissner Data AB"
5.183.168.0/24,60201,"Distributie Energie Electrica Romania S.A."
5.183.169.0/24,57668,"Eurolife Ffh Asigurari De Viata S.A."
5.183.170.0/23,39383,"Annarsy SRL"
5.183.172.0/22,47692,"Nessus GmbH"
5.183.176.0/23,212238,"Datacamp Limited"
5.183.178.0/24,199967,"Think Huge Ltd"
5.183.179.0/24,212238,"Datacamp Limited"
5.183.180.0/22,202486,"TSK LLC"
5.183.184.0/22,41368,"Spotting Brands Technologies S.L."
5.183.188.0/22,200487,"OOO VPS"
5.183.192.0/23,200438,ilios-system
5.183.194.0/24,200438,ilios-system
5.183.195.0/24,213467,"Lukasz Piwowarczyk"
5.183.196.0/22,211440,"Karolio IT paslaugos, UAB"
5.183.200.0/22,12998,"BGNet LLC"
5.183.207.0/24,16509,AMAZON-02
5.183.208.0/24,59790,"Marco Bungalski GmbH"
5.183.209.0/24,206264,"Amarutu Technology Ltd"
5.183.210.0/24,201748,"Infotelecom Networks Sl"
5.183.211.0/24,5405,"Inter.link GmbH"
5.183.216.0/22,209050,"Digimagical GmbH"
5.183.220.0/22,208909,"Gurbtec Iguana Telecom SL"
5.183.224.0/23,39855,"Mod Mission Critical LLC"
5.183.227.0/24,39855,"Mod Mission Critical LLC"
5.183.228.0/22,39184,"UltraNET Ltd"
5.183.232.0/22,56689,"Elitel Telecom Group Ltd"
5.183.240.0/22,9009,"M247 Europe SRL"
5.183.248.0/22,16347,"ADISTA SAS"
5.183.252.0/24,26548,PUREVOLTAGE-INC
5.183.253.0/24,20655,"e-Style ISP LLC"
5.183.254.0/24,35830,"Fast Servers (Pty) Ltd"
5.183.255.0/24,59651,"Alex Largman"
5.184.0.0/15,5617,"Orange Polska Spolka Akcyjna"
5.186.0.0/16,44869,"FIBIA P/S"
5.187.0.0/21,44051,"Fornex Hosting S.L."
5.187.8.0/21,49628,"LLC Skytel"
5.187.16.0/21,20860,"Iomart Cloud Services Limited"
5.187.24.0/24,29164,"Iomart Group Plc"
5.187.25.0/24,20860,"Iomart Cloud Services Limited"
5.187.26.0/24,20860,"Iomart Cloud Services Limited"
5.187.27.0/24,11352,IOMAR-11352
5.187.28.0/24,203833,"firstcolo GmbH"
5.187.29.0/24,20860,"Iomart Cloud Services Limited"
5.187.30.0/24,11352,IOMAR-11352
5.187.31.0/24,20860,"Iomart Cloud Services Limited"
5.187.32.0/24,215078,"Fresh Code - Fzco"
5.187.33.0/24,57169,"EDIS GmbH"
5.187.35.0/24,206264,"Amarutu Technology Ltd"
5.187.40.0/21,199096,"JSC Digital network Logos"
5.187.48.0/21,197155,"Artnet Sp. z o.o."
5.187.56.0/21,213298,"Cortex IT SA"
5.187.64.0/23,43727,"Jsc Kvant-telekom"
5.187.66.0/24,44604,"Jsc Kvant-telekom"
5.187.69.0/24,44604,"Jsc Kvant-telekom"
5.187.70.0/23,44604,"Jsc Kvant-telekom"
5.187.74.0/23,44604,"Jsc Kvant-telekom"
5.187.76.0/23,43727,"Jsc Kvant-telekom"
5.187.78.0/24,44604,"Jsc Kvant-telekom"
5.187.79.0/24,43727,"Jsc Kvant-telekom"
5.187.80.0/23,43727,"Jsc Kvant-telekom"
5.187.82.0/24,44604,"Jsc Kvant-telekom"
5.187.83.0/24,43727,"Jsc Kvant-telekom"
5.187.84.0/24,43727,"Jsc Kvant-telekom"
5.187.85.0/24,44604,"Jsc Kvant-telekom"
5.187.86.0/23,44604,"Jsc Kvant-telekom"
5.187.88.0/24,44604,"Jsc Kvant-telekom"
5.187.92.0/22,43727,"Jsc Kvant-telekom"
5.187.96.0/19,21351,"Canal + Telecom SAS"
5.187.128.0/17,5483,"Magyar Telekom Plc."
5.188.0.0/24,202422,"G-Core Labs S.A."
5.188.1.0/24,199524,"G-Core Labs S.A."
5.188.3.0/24,210756,"EdgeCenter LLC"
5.188.4.0/23,202422,"G-Core Labs S.A."
5.188.6.0/24,202422,"G-Core Labs S.A."
5.188.7.0/24,210756,"EdgeCenter LLC"
5.188.9.0/24,205553,"LTD Magistral_Telecom"
5.188.10.0/23,34665,"Petersburg Internet Network ltd."
5.188.12.0/22,50673,"Serverius Holding B.V."
5.188.16.0/21,198068,"P.a.g.m. Ou"
5.188.24.0/22,198068,"P.a.g.m. Ou"
5.188.28.0/22,200487,"OOO VPS"
5.188.32.0/23,202422,"G-Core Labs S.A."
5.188.34.0/24,202422,"G-Core Labs S.A."
5.188.35.0/24,210756,"EdgeCenter LLC"
5.188.36.0/24,202422,"G-Core Labs S.A."
5.188.37.0/24,210756,"EdgeCenter LLC"
5.188.38.0/23,210756,"EdgeCenter LLC"
5.188.40.0/24,49505,"JSC Selectel"
5.188.41.0/24,50340,"JSC Selectel"
5.188.42.0/23,49505,"JSC Selectel"
5.188.44.0/22,34665,"Petersburg Internet Network ltd."
5.188.48.0/23,34665,"Petersburg Internet Network ltd."
5.188.50.0/24,39556,"PIN Hosting Europe GmbH"
5.188.51.0/24,214790,"Brainoza OU"
5.188.52.0/22,47478,"MSTN CJSC"
5.188.56.0/22,49505,"JSC Selectel"
5.188.62.0/24,216368,"Petersburg Internet Network ltd."
5.188.63.0/24,205553,"LTD Magistral_Telecom"
5.188.64.0/22,200590,"NLS Kazakhstan LLC"
5.188.68.0/23,216368,"Petersburg Internet Network ltd."
5.188.70.0/24,202422,"G-Core Labs S.A."
5.188.71.0/24,199524,"G-Core Labs S.A."
5.188.72.0/21,50340,"JSC Selectel"
5.188.80.0/22,50340,"JSC Selectel"
5.188.85.0/24,56534,"Comfortel Ltd."
5.188.86.0/23,49453,"Global Layer B.V."
5.188.88.0/22,216368,"Petersburg Internet Network ltd."
5.188.92.0/24,199524,"G-Core Labs S.A."
5.188.93.0/24,202422,"G-Core Labs S.A."
5.188.94.0/23,199524,"G-Core Labs S.A."
5.188.96.0/21,56340,"Grand Ltd"
5.188.104.0/22,199860,"Atomdata Jsc"
5.188.108.0/24,202422,"G-Core Labs S.A."
5.188.109.0/24,199524,"G-Core Labs S.A."
5.188.110.0/23,202422,"G-Core Labs S.A."
5.188.112.0/24,50340,"JSC Selectel"
5.188.113.0/24,49505,"JSC Selectel"
5.188.114.0/23,50340,"JSC Selectel"
5.188.116.0/23,50340,"JSC Selectel"
5.188.118.0/23,49505,"JSC Selectel"
5.188.120.0/24,199524,"G-Core Labs S.A."
5.188.121.0/24,210756,"EdgeCenter LLC"
5.188.122.0/24,202422,"G-Core Labs S.A."
5.188.123.0/24,199524,"G-Core Labs S.A."
5.188.124.0/23,202422,"G-Core Labs S.A."
5.188.126.0/23,199524,"G-Core Labs S.A."
5.188.128.0/22,50340,"JSC Selectel"
5.188.132.0/22,199524,"G-Core Labs S.A."
5.188.136.0/22,50340,"JSC Selectel"
5.188.140.0/22,47764,"LLC VK"
5.188.144.0/22,25591,"BCLan LLC"
5.188.148.0/24,202422,"G-Core Labs S.A."
5.188.149.0/24,210756,"EdgeCenter LLC"
5.188.150.0/24,210756,"EdgeCenter LLC"
5.188.151.0/24,199524,"G-Core Labs S.A."
5.188.152.0/22,200590,"NLS Kazakhstan LLC"
5.188.156.0/22,49505,"JSC Selectel"
5.188.160.0/22,49505,"JSC Selectel"
5.188.164.0/23,39238,"Okb Progress LLC"
5.188.166.0/24,56694,"LLC Smart Ape"
5.188.167.0/24,205553,"LTD Magistral_Telecom"
5.188.168.0/23,202422,"G-Core Labs S.A."
5.188.170.0/24,210756,"EdgeCenter LLC"
5.188.172.0/23,56630,"Melbikomas UAB"
5.188.174.0/23,49287,"Melbikomas UAB"
5.188.176.0/22,210756,"EdgeCenter LLC"
5.188.180.0/22,56630,"Melbikomas UAB"
5.188.184.0/22,50340,"JSC Selectel"
5.188.188.0/24,202422,"G-Core Labs S.A."
5.188.189.0/24,199524,"G-Core Labs S.A."
5.188.190.0/23,202422,"G-Core Labs S.A."
5.188.192.0/22,47193,"LAN-Optic, Ltd"
5.188.196.0/22,49505,"JSC Selectel"
5.188.200.0/24,214790,"Brainoza OU"
5.188.201.0/24,39556,"PIN Hosting Europe GmbH"
5.188.202.0/24,39556,"PIN Hosting Europe GmbH"
5.188.203.0/24,45054,"METROBIT Ltd."
5.188.204.0/23,34665,"Petersburg Internet Network ltd."
5.188.206.0/24,200391,"Krez 999 Eood"
5.188.207.0/24,9123,"Jsc timeweb"
5.188.208.0/22,34665,"Petersburg Internet Network ltd."
5.188.212.0/24,210756,"EdgeCenter LLC"
5.188.213.0/24,202422,"G-Core Labs S.A."
5.188.214.0/23,202422,"G-Core Labs S.A."
5.188.216.0/22,34665,"Petersburg Internet Network ltd."
5.188.220.0/23,204272,"ASARTA LLC"
5.188.222.0/24,134351,"Leaseweb Japan K.K."
5.188.223.0/24,34665,"Petersburg Internet Network ltd."
5.188.224.0/24,210756,"EdgeCenter LLC"
5.188.225.0/24,202422,"G-Core Labs S.A."
5.188.226.0/23,202422,"G-Core Labs S.A."
5.188.228.0/24,202422,"G-Core Labs S.A."
5.188.229.0/24,210756,"EdgeCenter LLC"
5.188.230.0/23,202422,"G-Core Labs S.A."
5.188.232.0/24,57043,"Hostkey B.v."
5.188.233.0/24,34665,"Petersburg Internet Network ltd."
5.188.236.0/23,50509,"Transroute Telecom LTD"
5.188.238.0/24,202422,"G-Core Labs S.A."
5.188.239.0/24,199524,"G-Core Labs S.A."
5.188.240.0/21,21299,"Kar-Tel LLC"
5.188.248.0/24,35566,"Kar-Tel LLC"
5.188.249.0/24,21299,"Kar-Tel LLC"
5.188.250.0/23,21299,"Kar-Tel LLC"
5.188.252.0/22,21299,"Kar-Tel LLC"
5.189.0.0/24,201844,"LLC Korus"
5.189.1.0/24,12668,"LLC KomTehCentr"
5.189.2.0/23,12668,"LLC KomTehCentr"
5.189.4.0/22,12668,"LLC KomTehCentr"
5.189.8.0/24,201844,"LLC Korus"
5.189.9.0/24,12668,"LLC KomTehCentr"
5.189.10.0/23,12668,"LLC KomTehCentr"
5.189.12.0/22,12668,"LLC KomTehCentr"
5.189.16.0/20,12668,"LLC KomTehCentr"
5.189.32.0/19,12668,"LLC KomTehCentr"
5.189.64.0/18,12668,"LLC KomTehCentr"
5.189.128.0/18,51167,"Contabo GmbH"
5.189.192.0/21,12737,"KrasPromStroy, LLC"
5.189.200.0/24,199524,"G-Core Labs S.A."
5.189.201.0/24,210756,"EdgeCenter LLC"
5.189.202.0/23,199524,"G-Core Labs S.A."
5.189.204.0/24,202422,"G-Core Labs S.A."
5.189.205.0/24,210756,"EdgeCenter LLC"
5.189.206.0/24,202422,"G-Core Labs S.A."
5.189.207.0/24,199524,"G-Core Labs S.A."
5.189.208.0/21,8359,"MTS PJSC"
5.189.216.0/23,45054,"METROBIT Ltd."
5.189.218.0/24,45054,"METROBIT Ltd."
5.189.219.0/24,48225,"JSC Telsi"
5.189.220.0/24,199524,"G-Core Labs S.A."
5.189.221.0/24,202422,"G-Core Labs S.A."
5.189.222.0/24,202422,"G-Core Labs S.A."
5.189.223.0/24,210756,"EdgeCenter LLC"
5.189.224.0/24,49505,"JSC Selectel"
5.189.225.0/24,50340,"JSC Selectel"
5.189.226.0/24,49505,"JSC Selectel"
5.189.227.0/24,50340,"JSC Selectel"
5.189.228.0/24,50340,"JSC Selectel"
5.189.229.0/24,49505,"JSC Selectel"
5.189.230.0/23,50340,"JSC Selectel"
5.189.232.0/23,49505,"JSC Selectel"
5.189.234.0/24,50340,"JSC Selectel"
5.189.235.0/24,49505,"JSC Selectel"
5.189.236.0/22,49505,"JSC Selectel"
5.189.240.0/21,12737,"KrasPromStroy, LLC"
5.189.248.0/22,34665,"Petersburg Internet Network ltd."
5.189.252.0/24,39558,"IP Resurs Ltd."
5.189.254.0/24,214790,"Brainoza OU"
5.189.255.0/24,45054,"METROBIT Ltd."
5.190.0.0/17,58224,"Iran Telecommunication Company PJS"
5.190.128.0/18,58224,"Iran Telecommunication Company PJS"
5.190.192.0/20,58224,"Iran Telecommunication Company PJS"
5.190.208.0/23,58224,"Iran Telecommunication Company PJS"
5.190.210.0/24,58224,"Iran Telecommunication Company PJS"
5.190.211.0/24,211670,"Fasa University"
5.190.212.0/22,58224,"Iran Telecommunication Company PJS"
5.190.216.0/21,58224,"Iran Telecommunication Company PJS"
5.190.224.0/19,58224,"Iran Telecommunication Company PJS"
5.191.0.0/17,31721,"Azercell Telecom Ltd"
5.191.128.0/18,31721,"Azercell Telecom Ltd"
5.191.192.0/19,31721,"Azercell Telecom Ltd"
5.191.224.0/20,31721,"Azercell Telecom Ltd"
5.191.240.0/20,200729,"AzInTelecom LLC"
5.192.0.0/15,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.194.0.0/17,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.194.128.0/18,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.194.192.0/19,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.194.224.0/20,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.194.240.0/21,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.194.248.0/22,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.194.252.0/22,201678,"Abu Dhabi Digital Authority"
5.195.0.0/20,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.195.16.0/22,201678,"Abu Dhabi Digital Authority"
5.195.20.0/24,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.195.21.0/24,201678,"Abu Dhabi Digital Authority"
5.195.22.0/23,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.195.24.0/21,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.195.32.0/19,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.195.64.0/18,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.195.128.0/19,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
5.195.160.0/22,5384,"Emirates Telecommunications Group Company (etisalat Group) Pjsc"
